duration         ,joint_1            ,joint_2   ,joint_3        ,joint_4     ,joint_5    ,joint_6        ,joint_7
3.0              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11

1.0              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
1.5              ,-3.0              ,4.74      ,-16.65         ,-15.12      ,-90.46     ,-2.29          ,0.11

3.0              ,-0.17              ,4.74      ,-16.65         ,-19.12      ,-90.46     ,-2.29          ,0.11
